dataset,filename,encode_ms
Dataset 3,estadoActual120.jpg,1.0641
Dataset 3,estadoActual13.jpg,1.0381
Dataset 3,estadoActual14.jpg,1.4185
Dataset 3,estadoActual15.jpg,0.7615
Dataset 3,estadoActual16.jpg,0.8289
Dataset 3,estadoActual17.jpg,0.8043
Dataset 3,estadoActual18.jpg,0.6094
Dataset 3,estadoActual19.jpg,1.0022
Dataset 3,estadoActual2.jpg,1.1
Dataset 3,estadoActual20.jpg,1.1049
Dataset 3,estadoActual21.jpg,1.0381
Dataset 3,estadoActual22.jpg,1.3212
Dataset 3,estadoActual23.jpg,0.8917
Dataset 3,estadoActual24.jpg,0.9605
Dataset 3,estadoActual25.jpg,0.8182
Dataset 3,estadoActual26.jpg,0.697
Dataset 3,estadoActual27.jpg,0.7351
Dataset 3,estadoActual28.jpg,0.6534
Dataset 3,estadoActual29.jpg,0.7493
Dataset 3,estadoActual3.jpg,0.8912
Dataset 3,estadoActual30.jpg,0.6521
Dataset 3,estadoActual31.jpg,1.1856
Dataset 3,estadoActual32.jpg,0.9005
Dataset 3,estadoActual33.jpg,0.8161
Dataset 3,estadoActual34.jpg,0.9747
Dataset 3,estadoActual35.jpg,0.73
Dataset 3,estadoActual36.jpg,0.7921
Dataset 3,estadoActual37.jpg,0.935
Dataset 3,estadoActual38.jpg,0.8145
Dataset 3,estadoActual39.jpg,0.7624
Dataset 3,estadoActual4.jpg,0.9008
Dataset 3,estadoActual40.jpg,1.0177
Dataset 3,estadoActual41.jpg,0.6132
Dataset 3,estadoActual42.jpg,0.6496
Dataset 3,estadoActual43.jpg,0.935
Dataset 3,estadoActual44.jpg,0.8317
Dataset 3,estadoActual45.jpg,0.9592
Dataset 3,estadoActual46.jpg,0.6047
Dataset 3,estadoActual47.jpg,1.3827
Dataset 3,estadoActual48.jpg,0.9008
Dataset 3,estadoActual49.jpg,0.6835
Dataset 3,estadoActual5.jpg,0.8713
Dataset 3,estadoActual50.jpg,0.7402
Dataset 3,estadoActual51.jpg,0.8144
Dataset 3,estadoActual52.jpg,0.8381
Dataset 3,estadoActual53.jpg,0.9466
Dataset 3,estadoActual54.jpg,0.9811
Dataset 3,estadoActual55.jpg,0.8746
Dataset 3,estadoActual56.jpg,0.8649
Dataset 3,estadoActual57.jpg,0.9229
Dataset 3,estadoActual58.jpg,0.9124
Dataset 3,estadoActual59.jpg,0.6944
Dataset 3,estadoActual6.jpg,0.818
Dataset 3,estadoActual60.jpg,0.8449
Dataset 3,estadoActual61.jpg,0.7626
Dataset 3,estadoActual62.jpg,0.7308
Dataset 3,estadoActual63.jpg,0.5881
Dataset 3,estadoActual64.jpg,0.7283
Dataset 3,estadoActual65.jpg,0.6417
Dataset 3,estadoActual66.jpg,0.6062
Dataset 3,estadoActual67.jpg,1.1744
Dataset 3,estadoActual68.jpg,0.6953
Dataset 3,estadoActual69.jpg,0.7818
Dataset 3,estadoActual7.jpg,0.7273
Dataset 3,estadoActual70.jpg,0.7884
Dataset 3,estadoActual71.jpg,0.9762
Dataset 3,estadoActual72.jpg,0.7225
Dataset 3,estadoActual73.jpg,0.9123
Dataset 3,estadoActual74.jpg,0.9982
Dataset 3,estadoActual75.jpg,1.0601
Dataset 3,estadoActual76.jpg,0.6713
Dataset 3,estadoActual77.jpg,2.4866
Dataset 3,estadoActual78.jpg,1.8245
Dataset 3,estadoActual79.jpg,0.8869
Dataset 3,estadoActual8.jpg,0.7591
Dataset 3,estadoActual80.jpg,1.3858
Dataset 3,estadoActual81.jpg,2.9265
Dataset 3,estadoActual82.jpg,0.8425
Dataset 3,estadoActual83.jpg,0.678
Dataset 3,estadoActual84.jpg,0.5088
Dataset 3,estadoActual85.jpg,0.6838
Dataset 3,estadoActual86.jpg,0.5656
Dataset 3,estadoActual87.jpg,0.6166
Dataset 3,estadoActual88.jpg,0.9236
Dataset 3,estadoActual89.jpg,1.1457
Dataset 3,estadoActual9.jpg,0.7054
Dataset 3,estadoActual90.jpg,0.8758
Dataset 3,estadoActual91.jpg,0.8438
Dataset 3,estadoActual92.jpg,1.1538
Dataset 3,estadoActual93.jpg,1.1247
Dataset 3,estadoActual94.jpg,1.0127
Dataset 3,estadoActual95.jpg,0.8161
Dataset 3,estadoActual96.jpg,0.8649
Dataset 3,estadoActual97.jpg,0.9399
Dataset 3,estadoActual98.jpg,0.7128
Dataset 3,estadoActual99.jpg,1.0055
