dataset,filename,block_index,bytes,add_ms,cid
Dataset 3,estadoActual75.jpg,94,72178,16.4659,QmeeacfsJ6Jsyzr8mbsw9r2o4g3EGMs8bEL6oZnTQvD8b7
Dataset 3,estadoActual76.jpg,95,73602,54.8182,QmRKyyrET2XozVh3AFwbRmSank6185dJwtdFMwgPJA7grp
Dataset 3,estadoActual77.jpg,96,74830,37.8879,QmSyZsJHvFghC4td6Ke6DBcoRirw7UroqWU2cm8tNUvUeP
Dataset 3,estadoActual78.jpg,97,74722,21.414,QmXqRMyx3Zc31bENp25qdUQjP7TcPKZU8x5qcppQHc99NB
Dataset 3,estadoActual79.jpg,98,73538,23.8026,QmZ85eSD7us2VsA7akfGVy8ah82vZjUMgs4xcAKfvko7jR
Dataset 3,estadoActual8.jpg,99,59077,45.8587,QmVDxm8PdKtnWN9U1zLu3uR7i6tczaKxHrhKaZehVkVARP
Dataset 3,estadoActual80.jpg,100,73842,21.5465,QmWSX8jzKP72652cfXLzRQEkSTYVbWxtY56diYYLdkSVCG
Dataset 3,estadoActual81.jpg,101,64926,17.8995,QmP3qqg6a2jKuxTfSTHQY3domZndzETCF5fAcwNbwQHDzx
Dataset 3,estadoActual82.jpg,102,56526,21.2622,Qma1RVHkqD7aMS16CDetw7ssxnd97KCqVRCYrBGKk5c2gs
Dataset 3,estadoActual83.jpg,103,46306,16.3675,QmUiiVXcDkUHMww4CvNRU16DN7aMxjP39fFUxXsevypBDG
Dataset 3,estadoActual84.jpg,104,39830,18.3282,QmX4MoA4k28JwqUQyKNWi7XB34HznJ5VfvwXuWzB78QzVA
Dataset 3,estadoActual85.jpg,105,41334,17.5543,Qmf21PeDrnnU8Bsg8anLgMVqBv9n2LT1yRQBQCujhgPrWs
Dataset 3,estadoActual86.jpg,106,40942,16.9945,QmUPT2a8wFyiS6HQByeFzYVsHVWBqTkfYjayRkhpoHzjta
Dataset 3,estadoActual87.jpg,107,41786,15.2126,QmV5H6XRZck4rj8oHiJkjCt2UsS77hwxt67AG81rJK6wp7
Dataset 3,estadoActual88.jpg,108,49774,20.6065,QmdhLBRVYzXYTmpE6bx66ji6sn6n9vVcvpv4mucyDpAvsL
Dataset 3,estadoActual89.jpg,109,50934,17.6017,QmPK7nZsmghrc1Xjzwrfid7ExMNGLGckjWH9kXhvkexSB3
Dataset 3,estadoActual9.jpg,110,59901,17.7828,QmfZtk9jJhhLecyKbBpu2U5GVwF17Uy8NCkKnJiVYBx5Dw
Dataset 3,estadoActual90.jpg,111,59950,17.3948,QmYA2yneCTFffJDppcvNuqrgy4scPkZQp3f7qMefbEeNft
Dataset 3,estadoActual91.jpg,112,69222,16.5529,QmXrWemhUbcJwRWWPKQKKqMhXEZ58cqaA4DPk7hkZ2K1uZ
Dataset 3,estadoActual92.jpg,113,74106,20.8246,QmW6yJjvsNGFaQ21Hh6QChrWe3yrmRfXULKMy596NvEXFb
Dataset 3,estadoActual93.jpg,114,75586,26.5802,QmPo9gwAtMXnkD6ZqWJid5MLh7Ngwd9T2eeaGtiqeDf77f
Dataset 3,estadoActual94.jpg,115,68014,17.2819,QmYD8TeFfhEi6Q6foSSsffvfsgEKECRHULT9aKpMEMLoEq
Dataset 3,estadoActual95.jpg,116,65262,17.9692,QmSJpDZGuWeMXQUomXnXTZjES3zWwF9UvtaYa5P2TQMG96
Dataset 3,estadoActual96.jpg,117,49922,16.8778,QmasWfiJLDk6yXgnKXxSDorJxeb5z8n1dpihdc5NbwUFm9
Dataset 3,estadoActual97.jpg,118,47262,17.0867,QmTyvMakomGyZmN2ctAmT9As3FRdDWdiFfTzFojJfXyZBg
Dataset 3,estadoActual98.jpg,119,45542,17.8781,QmSZi9krTBhGpaVrmH25QNXd6eYtDoSPbnTkY9Sbq1z8fW
Dataset 3,estadoActual99.jpg,120,41678,17.9092,QmYvxqBq5AHjCX4RB8dLxr77FUUPPYSMXf6ion6HCEqhic
